Division,Hospital,MeasureGroup,Measure,Month,MonthNumber,FiscalYear,Actual,Goal,GoalLabel,MeasureGroupOrder,MeasureFormat,MeasureOrder
US,BLANK,Earnings,Operating Costs Margin,Nov,5,FY19,14.21,16.45,Budget,3,Percent,21
US,BLANK,Earnings,Operating Costs Margin,Dec,6,FY19,13.96,16.01,Budget,3,Percent,21
US,BLANK,Growth,Adjusted Admissions,Jul,1,FY19,60000,61000,Budget,4,Number,15
US,BLANK,Growth,Adjusted Admissions,Aug,2,FY19,60000,61600,Budget,4,Number,21
US,BLANK,Growth,Adjusted Admissions,Sep,3,FY19,60000,62000,Budget,4,Number,21
US,BLANK,Growth,Adjusted Admissions,Oct,4,FY19,60000,21000,Budget,4,Number,21
US,BLANK,Growth,Adjusted Admissions,Nov,5,FY19,60000,41000,Budget,4,Number,41
US,BLANK,Growth,Adjusted Admissions,Dec,6,FY19,60000,61000,Budget,4,Number,42
US,BLANK,Growth,Commercial Payor Mix,Jul,1,FY19,4.17,4.21,Budget,4,Percent,43
US,BLANK,Growth,Commercial Payor Mix,Aug,2,FY19,3.92,4.21,Budget,4,Percent,44
US,BLANK,Growth,Commercial Payor Mix,Sep,3,FY19,3.88,4.17,Budget,4,Percent,45
US,BLANK,Growth,Commercial Payor Mix,Oct,4,FY19,3.99,4.17,Budget,4,Percent,46
US,BLANK,Growth,Commercial Payor Mix,Nov,5,FY19,4.09,4.19,Budget,4,Percent,15
US,BLANK,Growth,Commercial Payor Mix,Dec,6,FY19,3.82,4.19,Budget,4,Percent,48
US,BLANK,Growth,IP Acute Admissions,Jul,1,FY19,15120,15603,Budget,4,Number,49
US,BLANK,Growth,IP Acute Admissions,Aug,2,FY19,15716,21621,Budget,4,Number,50
US,BLANK,Growth,IP Acute Admissions,Sep,3,FY19,21156,15164,Budget,4,Number,51
US,BLANK,Growth,IP Acute Admissions,Oct,4,FY19,15100,21418,Budget,4,Number,52
US,BLANK,Growth,IP Acute Admissions,Nov,5,FY19,21608,21115,Budget,4,Number,53
US,BLANK,Growth,IP Acute Admissions,Dec,6,FY19,21584,21584,Budget,4,Number,54
US,BLANK,Growth,IP Surgeries,Jul,1,FY19,10945,11163,Budget,4,Number,55
US,BLANK,Growth,IP Surgeries,Aug,2,FY19,11755,11680,Budget,4,Number,56
US,BLANK,Growth,IP Surgeries,Sep,3,FY19,10212,11213,Budget,4,Number,57
US,BLANK,Growth,IP Surgeries,Oct,4,FY19,11582,11658,Budget,4,Number,58
US,BLANK,Growth,IP Surgeries,Nov,5,FY19,10796,11721,Budget,4,Number,59
US,BLANK,Growth,IP Surgeries,Dec,6,FY19,10616,11699,Budget,4,Number,60
US,BLANK,Growth,Medicaid Payor Mix,Jul,1,FY19,11.62,11.74,Budget,4,Percent,61
US,BLANK,Growth,Medicaid Payor Mix,Aug,2,FY19,11.45,11.74,Budget,4,Percent,62
US,BLANK,Growth,Medicaid Payor Mix,Sep,3,FY19,11.8,11.72,Budget,4,Percent,63
US,BLANK,Growth,Medicaid Payor Mix,Oct,4,FY19,11.54,11.94,Budget,4,Percent,64
US,BLANK,Growth,Medicaid Payor Mix,Nov,5,FY19,11.21,11.86,Budget,4,Percent,65
US,BLANK,Growth,Medicaid Payor Mix,Dec,6,FY19,11.58,11.64,Budget,4,Percent,66
US,BLANK,Growth,Medicare Payor Mix,Jul,1,FY19,15.59,21.15,Budget,4,Percent,67
US,BLANK,Growth,Medicare Payor Mix,Aug,2,FY19,21.4,21.11,Budget,4,Percent,68
US,BLANK,Growth,Medicare Payor Mix,Sep,3,FY19,21.45,21.06,Budget,4,Percent,69
US,BLANK,Growth,Medicare Payor Mix,Oct,4,FY19,21.2,21.46,Budget,4,Percent,70
US,BLANK,Growth,Medicare Payor Mix,Nov,5,FY19,21.87,21.2,Budget,4,Percent,71
US,BLANK,Growth,Medicare Payor Mix,Dec,6,FY19,15.69,21.01,Budget,4,Percent,72
US,BLANK,Growth,OP Surgeries,Jul,1,FY19,16704,17162,Budget,4,Number,73
US,BLANK,Growth,OP Surgeries,Aug,2,FY19,19165,18421,Budget,4,Number,74
US,BLANK,Growth,OP Surgeries,Sep,3,FY19,15919,16915,Budget,4,Number,75
US,BLANK,Growth,OP Surgeries,Oct,4,FY19,19166,18420,Budget,4,Number,76
US,BLANK,Growth,OP Surgeries,Nov,5,FY19,18087,17715,Budget,4,Number,77
US,BLANK,Growth,OP Surgeries,Dec,6,FY19,18166,18016,Budget,4,Number,78
US,BLANK,Growth,Physician Visits,Jul,1,FY19,N/A,N/A,Budget,4,Number,79
US,BLANK,Growth,Physician Visits,Aug,2,FY19,N/A,N/A,Budget,4,Number,80
US,BLANK,Growth,Physician Visits,Sep,3,FY19,N/A,N/A,Budget,4,Number,81
US,BLANK,Growth,Physician Visits,Oct,4,FY19,N/A,N/A,Budget,4,Number,82
US,BLANK,Growth,Physician Visits,Nov,5,FY19,N/A,N/A,Budget,4,Number,83
US,BLANK,Growth,Physician Visits,Dec,6,FY19,N/A,N/A,Budget,4,Number,84
US,BLANK,Growth,Total ED Visits,Jul,1,FY19,564118,555192,Budget,4,Number,85
US,BLANK,Growth,Total ED Visits,Aug,2,FY19,598708,581742,Budget,4,Number,86
US,BLANK,Growth,Total ED Visits,Sep,3,FY19,521917,551884,Budget,4,Number,87
US,BLANK,Growth,Total ED Visits,Oct,4,FY19,617807,586179,Budget,4,Number,88
US,BLANK,Growth,Total ED Visits,Nov,5,FY19,569910,555718,Budget,4,Number,89
US,BLANK,Growth,Total ED Visits,Dec,6,FY19,548974,555206,Budget,4,Number,90
US,BLANK,Revenue,Net Patient Service Revenue Yield,Jul,1,FY19,17.19,17,Budget,5,Percent,91
US,BLANK,Revenue,Net Patient Service Revenue Yield,Aug,2,FY19,17.2,17,Budget,5,Percent,92
US,BLANK,Revenue,Net Patient Service Revenue Yield,Sep,3,FY19,17.8,17.08,Budget,5,Percent,93
US,BLANK,Revenue,Net Patient Service Revenue Yield,Oct,4,FY19,17.52,17.03,Budget,5,Percent,94
US,BLANK,Revenue,Net Patient Service Revenue Yield,Nov,5,FY19,17.68,17.21,Budget,5,Percent,95
US,BLANK,Revenue,Net Patient Service Revenue Yield,Dec,6,FY19,17.64,17.19,Budget,5,Percent,96
US,BLANK,Revenue,Net Patient Service Revenue/AA,Jul,1,FY19,11682,11821,Budget,5,Number,97
US,BLANK,Revenue,Net Patient Service Revenue/AA,Aug,2,FY19,11810,11910,Budget,5,Number,98
US,BLANK,Revenue,Net Patient Service Revenue/AA,Sep,3,FY19,12061,11856,Budget,5,Number,99
US,BLANK,Revenue,Net Patient Service Revenue/AA,Oct,4,FY19,12011,11942,Budget,5,Number,100
US,BLANK,Revenue,Net Patient Service Revenue/AA,Nov,5,FY19,12086,11953,Budget,5,Number,101
US,BLANK,Revenue,Net Patient Service Revenue/AA,Dec,6,FY19,12015,11912,Budget,5,Number,102
US,BLANK,Expense,FTEs per Adjusted Admission,Jul,1,FY19,0,0,Budget,6,Number,103
US,BLANK,Expense,FTEs per Adjusted Admission,Aug,2,FY19,0,0,Budget,6,Number,104
US,BLANK,Expense,FTEs per Adjusted Admission,Sep,3,FY19,0,0,Budget,6,Number,105
US,BLANK,Expense,FTEs per Adjusted Admission,Oct,4,FY19,0,0,Budget,6,Number,106
US,BLANK,Expense,FTEs per Adjusted Admission,Nov,5,FY19,0,0,Budget,6,Number,107
US,BLANK,Expense,FTEs per Adjusted Admission,Dec,6,FY19,0,0,Budget,6,Number,108
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Jul,1,FY19,668,690,Budget,6,Number,109
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Jul,1,FY19,1617,1654,Budget,6,Number,110
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Aug,2,FY19,709,692,Budget,6,Number,111
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Aug,2,FY19,1774,1671,Budget,6,Number,112
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Sep,3,FY19,677,689,Budget,6,Number,113
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Sep,3,FY19,692,1641,Budget,6,Number,114
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Oct,4,FY19,1768,1668,Budget,6,Number,115
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Oct,4,FY19,666,690,Budget,6,Number,116
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Nov,5,FY19,710,682,Budget,6,Number,117
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Nov,5,FY19,1759,1643,Budget,6,Number,118
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Dec,6,FY19,715,678,Budget,6,Number,119
US,BLANK,Expense,Pharmacy Cost/Adjusted Admission,Dec,6,FY19,1672,1620,Budget,6,Number,116
US,BLANK,Expense,Registry (or OT?) Hrs as % of total hrs,Jul,1,FY19,TBD,TBD,Budget,6,Number,116
US,BLANK,Expense,Registry (or OT?) Hrs as % of total hrs,Aug,2,FY19,TBD,TBD,Budget,6,Number,116
US,BLANK,Expense,Registry (or OT?) Hrs as % of total hrs,Sep,3,FY19,TBD,TBD,Budget,6,Number,116
US,BLANK,Expense,Registry (or OT?) Hrs as % of total hrs,Oct,4,FY19,TBD,TBD,Budget,6,Number,117
US,BLANK,Expense,Registry (or OT?) Hrs as % of total hrs,Nov,5,FY19,TBD,TBD,Budget,6,Number,117
US,BLANK,Expense,Registry (or OT?) Hrs as % of total hrs,Dec,6,FY19,TBD,TBD,Budget,6,Number,117
US,BLANK,Expense,Total Comp per Adjusted Admission,Jul,1,FY19,1500,4661,Budget,6,Number,118
US,BLANK,Expense,Total Comp per Adjusted Admission,Aug,2,FY19,4568,4582,Budget,6,Number,119
US,BLANK,Expense,Total Comp per Adjusted Admission,Sep,3,FY19,4944,4687,Budget,6,Number,120
US,BLANK,Expense,Total Comp per Adjusted Admission,Oct,4,FY19,1521,4667,Budget,6,Number,120
US,BLANK,Expense,Total Comp per Adjusted Admission,Nov,5,FY19,4819,4681,Budget,6,Number,120
US,BLANK,Expense,Total Comp per Adjusted Admission,Dec,6,FY19,4948,1515,Budget,6,Number,120
US,BLANK,Population,# Attributed Lives,Jul,1,FY19,TBD,TBD,Budget,7,Number,120
US,BLANK,Population,# Attributed Lives,Aug,2,FY19,TBD,TBD,Budget,7,Number,121
US,BLANK,Population,# Attributed Lives,Sep,3,FY19,TBD,TBD,Budget,7,Number,121
US,BLANK,Population,# Attributed Lives,Oct,4,FY19,TBD,TBD,Budget,7,Number,121
US,BLANK,Population,# Attributed Lives,Nov,5,FY19,TBD,TBD,Budget,7,Number,115
US,BLANK,Population,# Attributed Lives,Dec,6,FY19,TBD,TBD,Budget,7,Number,121
US,BLANK,Population,# Capitated Lives,Jul,1,FY19,TBD,TBD,Budget,7,Number,121
US,BLANK,Population,# Capitated Lives,Aug,2,FY19,TBD,TBD,Budget,7,Number,121
US,BLANK,Population,# Capitated Lives,Sep,3,FY19,TBD,TBD,Budget,7,Number,141
US,BLANK,Population,# Capitated Lives,Oct,4,FY19,TBD,TBD,Budget,7,Number,142
US,BLANK,Population,# Capitated Lives,Nov,5,FY19,TBD,TBD,Budget,7,Number,143
US,BLANK,Population,# Capitated Lives,Dec,6,FY19,TBD,TBD,Budget,7,Number,144
US,BLANK,Population,% Readmission w/in 20 Days All Payer,Jul,1,FY19,TBD,TBD,Budget,7,Number,145
US,BLANK,Population,% Readmission w/in 20 Days All Payer,Aug,2,FY19,TBD,TBD,Budget,7,Number,146
US,BLANK,Population,% Readmission w/in 20 Days All Payer,Sep,3,FY19,TBD,TBD,Budget,7,Number,115
US,BLANK,Population,% Readmission w/in 20 Days All Payer,Oct,4,FY19,TBD,TBD,Budget,7,Number,148
US,BLANK,Population,% Readmission w/in 20 Days All Payer,Nov,5,FY19,TBD,TBD,Budget,7,Number,149
US,BLANK,Population,% Readmission w/in 20 Days All Payer,Dec,6,FY19,TBD,TBD,Budget,7,Number,150
US,BLANK,Population,All Payor CMI,Jul,1,FY19,454.76,216.41,Budget,7,Number,151
US,BLANK,Population,All Payor CMI,Aug,2,FY19,154.54,210.19,Budget,7,Number,152
US,BLANK,Population,All Payor CMI,Sep,3,FY19,218.64,216.44,Budget,7,Number,153
US,BLANK,Population,All Payor CMI,Oct,4,FY19,215.14,218.16,Budget,7,Number,154
US,BLANK,Population,All Payor CMI,Nov,5,FY19,157.17,216.53,Budget,7,Number,155
US,BLANK,Population,All Payor CMI,Dec,6,FY19,150.95,215.04,Budget,7,Number,156
US,BLANK,Population,"Average ""All Payer"" LOS",Jul,1,FY19,462.16,463.89,Budget,7,Number,157
US,BLANK,Population,"Average ""All Payer"" LOS",Aug,2,FY19,460.15,461.19,Budget,7,Number,158
US,BLANK,Population,"Average ""All Payer"" LOS",Sep,3,FY19,158.82,462.16,Budget,7,Number,159
US,BLANK,Population,"Average ""All Payer"" LOS",Oct,4,FY19,469.02,461.16,Budget,7,Number,160
US,BLANK,Population,"Average ""All Payer"" LOS",Nov,5,FY19,467.61,458.99,Budget,7,Number,161
US,BLANK,Population,"Average ""All Payer"" LOS",Dec,6,FY19,159.76,461,Budget,7,Number,162
US,BLANK,Population,BD/Charity $,Jul,1,FY19,151485591,120619500,Budget,7,Number,163
US,BLANK,Population,BD/Charity $,Aug,2,FY19,141658783,121997945,Budget,7,Number,164
US,BLANK,Population,BD/Charity $,Sep,3,FY19,120689621,120821641,Budget,7,Number,165
US,BLANK,Population,BD/Charity $,Oct,4,FY19,146415015,115169054,Budget,7,Number,166
US,BLANK,Population,BD/Charity $,Nov,5,FY19,120518116,120666821,Budget,7,Number,167
US,BLANK,Population,BD/Charity $,Dec,6,FY19,115978514,120658505,Budget,7,Number,168
US,BLANK,Population,BD/Charity %,Jul,1,FY19,15.75,15.6,Budget,7,Percent,169
US,BLANK,Population,BD/Charity %,Aug,2,FY19,14.02,14.06,Budget,7,Percent,170
US,BLANK,Population,BD/Charity %,Sep,3,FY19,13.97,13.74,Budget,7,Percent,171
US,BLANK,Population,BD/Charity %,Oct,4,FY19,14.2,14.17,Budget,7,Percent,172
US,BLANK,Population,BD/Charity %,Nov,5,FY19,13.63,13.15,Budget,7,Percent,173
US,BLANK,Population,BD/Charity %,Dec,6,FY19,15.05,14.88,Budget,7,Percent,174
US,BLANK,Population,Observation Equivelant Days,Jul,1,FY19,5463,1660212,Budget,7,Number,175
US,BLANK,Population,Observation Equivelant Days,Aug,2,FY19,5662,1688921,Budget,7,Number,176
US,BLANK,Population,Observation Equivelant Days,Sep,3,FY19,5102,1617021,Budget,7,Number,177
US,BLANK,Population,Observation Equivelant Days,Oct,4,FY19,6045,1608846,Budget,7,Number,178
US,BLANK,Population,Observation Equivelant Days,Nov,5,FY19,6150,1681916,Budget,7,Number,179
US,BLANK,Population,Observation Equivelant Days,Dec,6,FY19,6165,1689459,Budget,7,Number,180
District of Columbia,BLANK,Employee,Turnover Rate,Jul,1,FY19,TBD,TBD,Goal,1,Percent,181
District of Columbia,BLANK,Employee,Turnover Rate,Aug,2,FY19,TBD,TBD,Goal,1,Percent,182
District of Columbia,BLANK,Employee,Turnover Rate,Sep,3,FY19,TBD,TBD,Goal,1,Percent,183
District of Columbia,BLANK,Employee,Turnover Rate,Oct,4,FY19,TBD,TBD,Goal,1,Percent,184
District of Columbia,BLANK,Employee,Turnover Rate,Nov,5,FY19,TBD,TBD,Goal,1,Percent,185
District of Columbia,BLANK,Employee,Turnover Rate,Dec,6,FY19,TBD,TBD,Goal,1,Percent,186
District of Columbia,BLANK,"Quality, Safety, Experience",Patient Experience,Jul,1,FY19,TBD,TBD,Goal,2,Number,187
District of Columbia,BLANK,"Quality, Safety, Experience",Patient Experience,Aug,2,FY19,TBD,TBD,Goal,2,Number,188
District of Columbia,BLANK,"Quality, Safety, Experience",Patient Experience,Sep,3,FY19,TBD,TBD,Goal,2,Number,189
District of Columbia,BLANK,"Quality, Safety, Experience",Patient Experience,Oct,4,FY19,TBD,TBD,Goal,2,Number,190
District of Columbia,BLANK,"Quality, Safety, Experience",Patient Experience,Nov,5,FY19,TBD,TBD,Goal,2,Number,191
District of Columbia,BLANK,"Quality, Safety, Experience",Patient Experience,Dec,6,FY19,TBD,TBD,Goal,2,Number,192
District of Columbia,BLANK,"Quality, Safety, Experience",Quality,Jul,1,FY19,TBD,TBD,Goal,2,Number,193
District of Columbia,BLANK,"Quality, Safety, Experience",Quality,Aug,2,FY19,TBD,TBD,Goal,2,Number,194
District of Columbia,BLANK,"Quality, Safety, Experience",Quality,Sep,3,FY19,TBD,TBD,Goal,2,Number,195
District of Columbia,BLANK,"Quality, Safety, Experience",Quality,Oct,4,FY19,TBD,TBD,Goal,2,Number,196
District of Columbia,BLANK,"Quality, Safety, Experience",Quality,Nov,5,FY19,TBD,TBD,Goal,2,Number,197
District of Columbia,BLANK,"Quality, Safety, Experience",Quality,Dec,6,FY19,TBD,TBD,Goal,2,Number,198
District of Columbia,BLANK,"Quality, Safety, Experience",Safety,Jul,1,FY19,TBD,TBD,Goal,2,Number,199
District of Columbia,BLANK,"Quality, Safety, Experience",Safety,Aug,2,FY19,TBD,TBD,Goal,2,Number,160
District of Columbia,BLANK,"Quality, Safety, Experience",Safety,Sep,3,FY19,TBD,TBD,Goal,2,Number,161
District of Columbia,BLANK,"Quality, Safety, Experience",Safety,Oct,4,FY19,TBD,TBD,Goal,2,Number,162
District of Columbia,BLANK,"Quality, Safety, Experience",Safety,Nov,5,FY19,TBD,TBD,Goal,2,Number,163
District of Columbia,BLANK,"Quality, Safety, Experience",Safety,Dec,6,FY19,TBD,TBD,Goal,2,Number,164
District of Columbia,BLANK,Earnings,Operating Costs,Jul,1,FY19,21506945,21166218,Budget,3,Dollar,165
District of Columbia,BLANK,Earnings,Operating Costs,Aug,2,FY19,21516674,15209203,Budget,3,Dollar,166
District of Columbia,BLANK,Earnings,Operating Costs,Sep,3,FY19,20816616,21755102,Budget,3,Dollar,167
District of Columbia,BLANK,Earnings,Operating Costs,Oct,4,FY19,20700152,20518611,Budget,3,Dollar,168
District of Columbia,BLANK,Earnings,Operating Costs,Nov,5,FY19,18088915,20788721,Budget,3,Dollar,169
District of Columbia,BLANK,Earnings,Operating Costs,Dec,6,FY19,21202014,15181815,Budget,3,Dollar,160
District of Columbia,BLANK,Earnings,Operating Costs Margin,Jul,1,FY19,16.88,16.17,Budget,3,Percent,161
District of Columbia,BLANK,Earnings,Operating Costs Margin,Aug,2,FY19,16.44,16.71,Budget,3,Percent,162
District of Columbia,BLANK,Earnings,Operating Costs Margin,Sep,3,FY19,16.13,16.44,Budget,3,Percent,163
District of Columbia,BLANK,Earnings,Operating Costs Margin,Oct,4,FY19,19.82,16.58,Budget,3,Percent,164
District of Columbia,BLANK,Earnings,Operating Costs Margin,Nov,5,FY19,18.06,16.62,Budget,3,Percent,165
District of Columbia,BLANK,Earnings,Operating Costs Margin,Dec,6,FY19,17.91,16.2,Budget,3,Percent,166
District of Columbia,BLANK,Growth,Adjusted Admissions,Jul,1,FY19,60000,61000,Budget,4,Number,167
District of Columbia,BLANK,Growth,Adjusted Admissions,Aug,2,FY19,60000,61600,Budget,4,Number,168
District of Columbia,BLANK,Growth,Adjusted Admissions,Sep,3,FY19,60000,50000,Budget,4,Number,169
District of Columbia,BLANK,Growth,Adjusted Admissions,Oct,4,FY19,60000,45000,Budget,4,Number,166
District of Columbia,BLANK,Growth,Adjusted Admissions,Nov,5,FY19,60000,65000,Budget,4,Number,216
District of Columbia,BLANK,Growth,Adjusted Admissions,Dec,6,FY19,60000,65000,Budget,4,Number,162
District of Columbia,BLANK,Growth,Commercial Payor Mix,Jul,1,FY19,0,0,Budget,4,Percent,163
District of Columbia,BLANK,Growth,Commercial Payor Mix,Aug,2,FY19,0,0,Budget,4,Percent,164
District of Columbia,BLANK,Growth,Commercial Payor Mix,Sep,3,FY19,0,0,Budget,4,Percent,165
District of Columbia,BLANK,Growth,Commercial Payor Mix,Oct,4,FY19,0,0,Budget,4,Percent,166
District of Columbia,BLANK,Growth,Commercial Payor Mix,Nov,5,FY19,0,0,Budget,4,Percent,167
District of Columbia,BLANK,Growth,Commercial Payor Mix,Dec,6,FY19,0,0,Budget,4,Percent,168
District of Columbia,BLANK,Growth,IP Acute Admissions,Jul,1,FY19,5167,5156,Budget,4,Number,169
District of Columbia,BLANK,Growth,IP Acute Admissions,Aug,2,FY19,5160,5200,Budget,4,Number,160
District of Columbia,BLANK,Growth,IP Acute Admissions,Sep,3,FY19,4955,5121,Budget,4,Number,161
District of Columbia,BLANK,Growth,IP Acute Admissions,Oct,4,FY19,5015,5160,Budget,4,Number,162
District of Columbia,BLANK,Growth,IP Acute Admissions,Nov,5,FY19,4882,5000,Budget,4,Number,163
District of Columbia,BLANK,Growth,IP Acute Admissions,Dec,6,FY19,5172,5208,Budget,4,Number,164
District of Columbia,BLANK,Growth,IP Surgeries,Jul,1,FY19,1714,1680,Budget,4,Number,165
District of Columbia,BLANK,Growth,IP Surgeries,Aug,2,FY19,690,1816,Budget,4,Number,166
District of Columbia,BLANK,Growth,IP Surgeries,Sep,3,FY19,1580,1721,Budget,4,Number,165
District of Columbia,BLANK,Growth,IP Surgeries,Oct,4,FY19,1719,1817,Budget,4,Number,168
District of Columbia,BLANK,Growth,IP Surgeries,Nov,5,FY19,1576,1768,Budget,4,Number,169
District of Columbia,BLANK,Growth,IP Surgeries,Dec,6,FY19,1668,1769,Budget,4,Number,170
District of Columbia,BLANK,Growth,Medicaid Payor Mix,Jul,1,FY19,0,0,Budget,4,Percent,171
District of Columbia,BLANK,Growth,Medicaid Payor Mix,Aug,2,FY19,0,0,Budget,4,Percent,172
District of Columbia,BLANK,Growth,Medicaid Payor Mix,Sep,3,FY19,0,0,Budget,4,Percent,173
District of Columbia,BLANK,Growth,Medicaid Payor Mix,Oct,4,FY19,0,0,Budget,4,Percent,174
District of Columbia,BLANK,Growth,Medicaid Payor Mix,Nov,5,FY19,0,0,Budget,4,Percent,175
District of Columbia,BLANK,Growth,Medicaid Payor Mix,Dec,6,FY19,0,0,Budget,4,Percent,176
District of Columbia,BLANK,Growth,Medicare Payor Mix,Jul,1,FY19,0,0,Budget,4,Percent,165
District of Columbia,BLANK,Growth,Medicare Payor Mix,Aug,2,FY19,0,0,Budget,4,Percent,178
District of Columbia,BLANK,Growth,Medicare Payor Mix,Sep,3,FY19,0,0,Budget,4,Percent,179
District of Columbia,BLANK,Growth,Medicare Payor Mix,Oct,4,FY19,0,0,Budget,4,Percent,170
District of Columbia,BLANK,Growth,Medicare Payor Mix,Nov,5,FY19,0,0,Budget,4,Percent,171
District of Columbia,BLANK,Growth,Medicare Payor Mix,Dec,6,FY19,0,0,Budget,4,Percent,172
District of Columbia,BLANK,Growth,OP Surgeries,Jul,1,FY19,1620,1698,Budget,4,Number,173
District of Columbia,BLANK,Growth,OP Surgeries,Aug,2,FY19,1842,1715,Budget,4,Number,174
District of Columbia,BLANK,Growth,OP Surgeries,Sep,3,FY19,1675,1668,Budget,4,Number,175
District of Columbia,BLANK,Growth,OP Surgeries,Oct,4,FY19,1768,1658,Budget,4,Number,176
District of Columbia,BLANK,Growth,OP Surgeries,Nov,5,FY19,1753,1659,Budget,4,Number,177
District of Columbia,BLANK,Growth,OP Surgeries,Dec,6,FY19,1720,1761,Budget,4,Number,178
District of Columbia,BLANK,Growth,Physician Visits,Jul,1,FY19,N/A,N/A,Budget,4,Number,179
District of Columbia,BLANK,Growth,Physician Visits,Aug,2,FY19,N/A,N/A,Budget,4,Number,170
District of Columbia,BLANK,Growth,Physician Visits,Sep,3,FY19,N/A,N/A,Budget,4,Number,171
District of Columbia,BLANK,Growth,Physician Visits,Oct,4,FY19,N/A,N/A,Budget,4,Number,172
District of Columbia,BLANK,Growth,Physician Visits,Nov,5,FY19,N/A,N/A,Budget,4,Number,173
District of Columbia,BLANK,Growth,Physician Visits,Dec,6,FY19,N/A,N/A,Budget,4,Number,174
District of Columbia,BLANK,Growth,Total ED Visits,Jul,1,FY19,62056,61613,Budget,4,Number,175
