MeasureName,MeasureLabel,FY17,Actual,Goal,Division,Reporting_Period,Format,Measure Order,QuaterData
Safety,percentile,FY19,50,75,Great Lakes,Apr 2017- Mar 2018,Number,6,CURR
Patient Experience,percentile,FY19,50,75,Kentucky,Apr 2017- Mar 2018,Number,5,CURR
Clinical Engagement,percentile,FY19,50,75,Kentucky,,Number,3,CURR
Quality,percentile,FY19,50,75,Kentucky,Apr 2017- Mar 2018,Number,4,CURR
Safety,percentile,FY19,50,75,Kentucky,Apr 2017- Mar 2018,Number,6,CURR
Patient Experience,percentile,FY19,50,75,Nebraska,Apr 2017- Mar 2018,Number,5,CURR
Clinical Engagement,percentile,FY19,50,75,Nebraska,,Number,3,CURR
Quality,percentile,FY19,50,75,Nebraska,Apr 2017- Mar 2018,Number,4,CURR
Safety,percentile,FY19,50,75,Nebraska,Apr 2017- Mar 2018,Number,6,CURR
Patient Experience,percentile,FY19,50,75,Mississippi,Apr 2017- Mar 2018,Number,5,CURR
Clinical Engagement,percentile,FY19,50,75,Mississippi,,Number,3,CURR
Quality,percentile,FY19,50,75,Mississippi,Apr 2017- Mar 2018,Number,4,CURR
Safety,percentile,FY19,50,75,Mississippi,Apr 2017- Mar 2018,Number,6,CURR
Patient Experience,percentile,FY19,50,75,Pacific Northwest,Apr 2017- Mar 2018,Number,5,CURR
Clinical Engagement,percentile,FY19,50,75,Pacific Northwest,,Number,3,CURR
Quality,percentile,FY19,50,75,Pacific Northwest,Apr 2017- Mar 2018,Number,4,CURR
Safety,percentile,FY19,50,75,Pacific Northwest,Apr 2017- Mar 2018,Number,6,CURR
Patient Experience,percentile,FY19,50,75,New Mexico,Apr 2017- Mar 2018,Number,5,CURR
Clinical Engagement,percentile,FY19,50,75,New Mexico,,Number,3,CURR
Quality,percentile,FY19,50,75,New Mexico,Apr 2017- Mar 2018,Number,4,CURR
Safety,percentile,FY19,50,75,New Mexico,Apr 2017- Mar 2018,Number,6,CURR
Patient Experience,percentile,FY19,50,75,Texas,Apr 2017- Mar 2018,Number,5,CURR
Clinical Engagement,percentile,FY19,50,75,Texas,,Number,3,CURR
Quality,percentile,FY19,50,75,Texas,Apr 2017- Mar 2018,Number,4,CURR
Safety,percentile,FY19,50,75,Texas,Apr 2017- Mar 2018,Number,6,CURR
Patient Experience,percentile,FY19,50,75,Georgia,Apr 2017- Mar 2018,Number,5,CURR
Clinical Engagement,percentile,FY19,50,75,Georgia,,Number,3,CURR
Quality,percentile,FY19,50,75,Georgia,Apr 2017- Mar 2018,Number,4,CURR
Safety,percentile,FY19,50,75,Georgia,Apr 2017- Mar 2018,Number,6,CURR
Patient Experience,percentile,FY20,0,75,District of Columbia,Apr 2017- Mar 2018,Number,5,CURR1
Clinical Engagement,percentile,FY20,0,5.2,District of Columbia,,Number,3,CURR1
Quality,percentile,FY20,0,75,District of Columbia,Apr 2017- Mar 2018,Number,4,CURR1
Safety,percentile,FY20,0,75,District of Columbia,Apr 2017- Mar 2018,Number,6,CURR1
Patient Experience,percentile,FY20,0,75,US,Apr 2017- Mar 2018,Number,5,CURR1
Clinical Engagement,percentile,FY20,0,5.2,US,,Number,3,CURR1
Quality,percentile,FY20,0,75,US,Apr 2017- Mar 2018,Number,4,CURR1
Safety,percentile,FY20,0,75,US,Apr 2017- Mar 2018,Number,6,CURR1
Patient Experience,percentile,FY20,0,75,Great Lakes,Apr 2017- Mar 2018,Number,5,CURR1
Clinical Engagement,percentile,FY20,0,5.2,Great Lakes,,Number,3,CURR1
Quality,percentile,FY20,0,75,Great Lakes,Apr 2017- Mar 2018,Number,4,CURR1
Safety,percentile,FY20,0,75,Great Lakes,Apr 2017- Mar 2018,Number,6,CURR1
Patient Experience,percentile,FY20,0,75,Kentucky,Apr 2017- Mar 2018,Number,5,CURR1
Clinical Engagement,percentile,FY20,0,5.2,Kentucky,,Number,3,CURR1
Quality,percentile,FY20,0,75,Kentucky,Apr 2017- Mar 2018,Number,4,CURR1
Safety,percentile,FY20,0,75,Kentucky,Apr 2017- Mar 2018,Number,6,CURR1
Patient Experience,percentile,FY20,0,75,Nebraska,Apr 2017- Mar 2018,Number,5,CURR1
Clinical Engagement,percentile,FY20,0,5.2,Nebraska,,Number,3,CURR1
Quality,percentile,FY20,0,75,Nebraska,Apr 2017- Mar 2018,Number,4,CURR1
Safety,percentile,FY20,0,75,Nebraska,Apr 2017- Mar 2018,Number,6,CURR1
Patient Experience,percentile,FY20,0,75,Mississippi,Apr 2017- Mar 2018,Number,5,CURR1
Clinical Engagement,percentile,FY20,0,5.2,Mississippi,,Number,3,CURR1
Quality,percentile,FY20,0,75,Mississippi,Apr 2017- Mar 2018,Number,4,CURR1
Safety,percentile,FY20,0,75,Mississippi,Apr 2017- Mar 2018,Number,6,CURR1
Patient Experience,percentile,FY20,0,75,Pacific Northwest,Apr 2017- Mar 2018,Number,5,CURR1
Clinical Engagement,percentile,FY20,0,5.2,Pacific Northwest,,Number,3,CURR1
Quality,percentile,FY20,0,75,Pacific Northwest,Apr 2017- Mar 2018,Number,4,CURR1
Safety,percentile,FY20,0,75,Pacific Northwest,Apr 2017- Mar 2018,Number,6,CURR1
Patient Experience,percentile,FY20,0,75,New Mexico,Apr 2017- Mar 2018,Number,5,CURR1
Clinical Engagement,percentile,FY20,0,5.2,New Mexico,,Number,3,CURR1
Quality,percentile,FY20,0,75,New Mexico,Apr 2017- Mar 2018,Number,4,CURR1
Safety,percentile,FY20,0,75,New Mexico,Apr 2017- Mar 2018,Number,6,CURR1
Patient Experience,percentile,FY20,0,75,Texas,Apr 2017- Mar 2018,Number,5,CURR1
Clinical Engagement,percentile,FY20,0,5.2,Texas,,Number,3,CURR1
Quality,percentile,FY20,0,75,Texas,Apr 2017- Mar 2018,Number,4,CURR1
Safety,percentile,FY20,0,75,Texas,Apr 2017- Mar 2018,Number,6,CURR1
Patient Experience,percentile,FY20,0,75,Georgia,Apr 2017- Mar 2018,Number,5,CURR1
Clinical Engagement,percentile,FY20,0,5.2,Georgia,,Number,3,CURR1
Quality,percentile,FY20,0,75,Georgia,Apr 2017- Mar 2018,Number,4,CURR1
Safety,percentile,FY20,0,75,Georgia,Apr 2017- Mar 2018,Number,6,CURR1
Evolution,TBD,FY19,50000,40000,District of Columbia,,Number,8,CURR
Evolution,TBD,FY19,50000,60000,US,,Number,8,CURR
Evolution,TBD,FY19,50000,40000,Great Lakes,,Number,8,CURR
Evolution,TBD,FY19,50000,60000,Kentucky,,Number,8,CURR
Evolution,TBD,FY19,50000,40000,Nebraska,,Number,8,CURR
Evolution,TBD,FY19,50000,60000,Mississippi,,Number,8,CURR
Evolution,TBD,FY19,50000,40000,Pacific Northwest,,Number,8,CURR
Evolution,TBD,FY19,50000,60000,New Mexico,,Number,8,CURR
Evolution,TBD,FY19,50000,40000,Texas,,Number,8,CURR
Evolution,TBD,FY19,50000,60000,Georgia,,Number,8,CURR
Evolution,TBD,FY20,0,TBD,District of Columbia,,Number,8,CURR1
Evolution,TBD,FY20,0,TBD,US,,Number,8,CURR1
Evolution,TBD,FY20,0,TBD,Great Lakes,,Number,8,CURR1
Evolution,TBD,FY20,0,TBD,Kentucky,,Number,8,CURR1
Evolution,TBD,FY20,0,TBD,Nebraska,,Number,8,CURR1
Evolution,TBD,FY20,0,TBD,Mississippi,,Number,8,CURR1
Evolution,TBD,FY20,0,TBD,Pacific Northwest,,Number,8,CURR1
Evolution,TBD,FY20,0,TBD,New Mexico,,Number,8,CURR1
Evolution,TBD,FY20,0,TBD,Texas,,Number,8,CURR1
Evolution,TBD,FY20,0,TBD,Georgia,,Number,8,CURR1
